lemma_id,lemma,in_model,decision_needed_vowel,decision_needed_coda,surface_variants,dwds_headword,anchor_vowel_pres,anchor_vowel_pastsg,anchor_vowel_pastpl,anchor_coda_pastsg,anchor_coda_pastpl,late_vowel_sg,late_vowel_pl,late_vowel_unmatched,late_coda_sg,late_coda_pl,late_coda_unmatched,proposed_vowel_past_winner,proposed_vowel_note,proposed_coda_past_winner,proposed_coda_note,nhg_preterite,proposed_winner_reference,confidence,reference_note,vowel_past_winner,coda_past_winner,curator_note
49,bergen,yes,yes,no,bergen | bërgen | ge-bërgen | verbergen | ver-bërgen | ver-bërgen/vor(e)>+,bergen,CG:e UG:e,CG:a UG:a,CG:u UG:u,CG:rc UG:rc,CG:rg UG:rg,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,barg,pastsg,high,Class III a/u levels to the singular vowel,,,
72,brinnen,yes,yes,no,brinnen | brennen | er-brinnen | ver-brinnen | ent-brinnen | brinnen/ûf>+,,CG:i UG:i,CG:a UG:a,CG:u UG:u,CG: UG:,CG:n UG:n,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,brannte,,low,The verb is weak in NHG. It has no strong preterite. Policy needed.,,,
30,dringen,yes,yes,no,dringen | er-dringen | ge-dringen | aufdringen | dringen/ûz>+ | dringen/în>+,dringen,CG:- UG:i,CG:a UG:a,CG:u UG:u,CG:nk UG:nk,CG:ng UG:ng,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,drang,pastsg,high,Class III a/u levels to the singular vowel,,,
106,fliegen,yes,yes,no,fliegen | vliègen | be-vliègen | ge-vliègen | ver-vliègen | ent-vliègen,fliegen,CG:ie UG:ie,CG:ou UG:ou,CG:u UG:u,CG:c UG:c,CG:g UG:g,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,flog,pastsg,medium,NHG o. Anchors are ou/u so please confirm the ou reading.,,,
83,fliehen,yes,yes,no,fliehen | vlièhen | entfliehen | ge-vlièhen | ent-vlièhen | vlièhen/vor(e)+,fliehen,CG:ie UG:ie,CG:o UG:o,CG:u UG:u,CG:χ UG:χ,CG:h UG:h,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,floh,pastsg,high,Class II o/u levels to the singular vowel,,,
18,gebot,yes,yes,no,gebot | bieten | bièten | erbieten | anbieten | gebieten,bieten,CG:ie UG:ie,CG:o UG:o,CG:u UG:u,CG:t UG:t,CG:t UG:t,5,0,2,0,0,7,pastsg,corpus majority 5 vs 0,unresolved,fewer than 3 classified tokens,gebot,pastsg,high,Class II o/u levels to the singular vowel,,,
84,gelten,yes,yes,no,gelten | gëlten | vergelten | entgelten | ver-gëlten | ent-gëlten,gelten,CG:e UG:e,CG:a UG:a,CG:u UG:u,CG:l UG:l,CG:l UG:l,1,1,0,0,0,2,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,galt,pastsg,high,Class III a/u levels to the singular vowel,,,
117,genesen,yes,no,yes,genesen | er-nësen | ge-nësen,genesen,CG:e UG:e,CG:a UG:a,CG:a UG:a,CG:s UG:s,CG:r UG:r,0,0,3,3,0,0,unresolved,fewer than 3 classified tokens,pastsg,corpus majority 3 vs 0,,,,,,,
123,gièzen,yes,yes,no,gièzen | gießen | be-gièzen | ge-gièzen | er-gièzen | ver-gièzen,,CG:ie UG:ie,CG:o UG:o,CG:u UG:u,CG:z UG:z,CG:z UG:z,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,goss,pastsg,high,Class II o/u levels to the singular vowel,,,
127,houwen,yes,yes,no,houwen | verhauen | be-houwen | ge-houwen | er-houwen | zer-houwen,,CG:ou UG:ou,CG:iu UG:ie,CG:ie UG:ie,CG: UG:w,CG:w UG:w,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,hieb,,low,NHG hieb. Anchors iu/ie. Please confirm.,,,
